"doctorid","mainspecialty","age"
"AD61AB143223EFBC24C7D2583BE69251","General Medicine","41"
"D09BF41544A3365A46C9077EBB5E35C3","Family Medicine","43"
"FBD7939D674997CDB4692D34DE8633C4","Vascular Medicine","26"
"28DD2C7955CE926456240B2FF0100BDE","Otolaryngologists","34"
"35F4A8D465E6E1EDC05F3D8AB658C551","General Dentistry","50"
"D1FE173D08E959397ADF34B1D77E88D7","Orthopedic","62"
"F033AB37C30201F73F142449D037028D","Family Medicine","41"
"43EC517D68B6EDD3015B3EDC9A11367B","Acupunturist1","38"
"9778D5D219C5080B9A6A17BEF029331C","Orthopaedic Sports Medicine","57"
"FE9FC289C3FF0AF142B6D3BEAD98A923","Masters of Science in Preventive & Regenerative Medicine","44"
"68D30A9594728BC39AA24BE94B319D21","Anti Aging and Regenerative Medicine","59"
"3EF815416F775098FE977004015C6193","Surgery","59"
"93DB85ED909C13838FF95CCFA94CEBD9","Internal Medicine","62"
"C7E1249FFC03EB9DED908C236BD1996D","Internal Medicine","59"
"2A38A4A9316C49E5A833517C45D31070","Otolaryngology","59"
"7647966B7343C29048673252E490F736","Pediatrics","39"
"8613985EC49EB8F757AE6439E879BB2A","Ophthalmology","44"
"54229ABFCFA5649E7003B83DD4755294","Orthopedic surgery","49"
"92CC227532D17E56E07902B254DFAD10","Orthopedic Surgeon","57"
"98DCE83DA57B0395E163467C9DAE521B","Internal medicine","55"
"F4B9EC30AD9F68F89B29639786CB62EF","General Dentistry","38"
"812B4BA287F5EE0BC9D43BBF5BBE87FB","General Surgery","37"
"26657D5FF9020D2ABEFE558796B99584","Radiology","38"
"E2EF524FBF3D9FE611D5A8E90FEFDC9C","Internal medicine","37"
"ED3D2C21991E3BEF5E069713AF9FA6CA","",""
"AC627AB1CCBDB62EC96E702F07F6425B","Ophthalmology","40"
"F899139DF5E1059396431415E770C6DD","General Medicine","48"
"38B3EFF8BAF56627478EC76A704E9B52","Anesthesiology","51"
"EC8956637A99787BD197EACD77ACCE5E","",""
"6974CE5AC660610B44D9B9FED0FF9548","General Medicine","43"
"C9E1074F5B3F9FC8EA15D152ADD07294","Gastroenterology and Hepatology","50"
"65B9EEA6E1CC6BB9F0CD2A47751A186F","",""
"F0935E4CD5920AA6C7C996A5EE53A70F","General Physician","46"
"A97DA629B098B75C294DFFDC3E463904","",""
"A3C65C2974270FD093EE8A9BF8AE7D0B","Obstetrics &Gynecology","49"
"2723D092B63885E0D7C260CC007E8B9D","Pediatrics","48"
"5F93F983524DEF3DCA464469D2CF9F3E","HPB Surgery","57"
"698D51A19D8A121CE581499D7B701668","Internal Medicine","44"
"7F6FFAA6BB0B408017B62254211691B5","",""
"73278A4A86960EEB576A8FD4C9EC6997","",""
